,Unnamed: 0,cl,RespID,Date Done,Resp Name,Husband,Father,Group,Location,Prev
0,0,749,1002,,,,,Cash,Hai Banana,
1,1,6,1006,,,,,Control,Hai Banana,
2,2,15,1008,,,,,TUP,Hai Banana,
3,3,16,1009,,,,,TUP,Hai Banana,
4,4,17,1010,,,,,Control,Hai Banana,
5,5,26,1012,,,,,Control,Hai Banana,
6,6,28,1013,,,,,Control,Hai Banana,
7,7,29,1014,,,,,Control,Hai Banana,
8,8,31,1015,,,,,Control,Hai Banana,
9,9,33,1016,,,,,TUP,Hai Banana,
10,10,38,1017,,,,,Cash,Hai Banana,
11,11,41,1019,,,,,Cash,Hai Banana,
12,12,46,1020,,,,,TUP,Hai Banana,
13,13,53,1022,,,,,Control,Hai Banana,
14,14,69,1023,,,,,Control,Hai Banana,
15,15,78,1025,,,,,TUP,Hai Banana,
16,16,80,1027,,,,,Control,Hai Banana,
17,17,85,1028,,,,,Control,Hai Banana,
18,18,87,1030,,,,,Cash,Hai Banana,
19,19,90,1031,,,,,Cash,Hai Banana,
20,20,93,1032,,,,,TUP,Hai Banana,
21,21,96,1035,,,,,Control,Hai Banana,
22,22,101,1039,,,,,Control,Hai Banana,
23,23,102,1040,,,,,TUP,Hai Banana,
24,24,103,1042,,,,,Control,Hai Banana,
25,25,107,1043,,,,,Control,Hai Banana,
26,26,109,1044,,,,,Control,Hai Banana,
27,27,116,1046,,,,,Control,Hai Banana,
28,28,117,1047,,,,,TUP,Hai Banana,
29,29,123,1048,,,,,Control,Hai Banana,
30,30,125,1049,,,,,TUP,Hai Banana,
31,31,126,1050,,,,,Control,Hai Banana,
32,32,132,1051,,,,,Cash,Hai Banana,
33,33,133,1053,,,,,TUP,Hai Banana,
34,34,137,1054,,,,,Cash,Hai Banana,
35,35,142,1055,,,,,TUP,Hai Banana,
36,36,144,1056,,,,,Cash,Hai Banana,
37,37,148,1058,,,,,Control,Hai Banana,
38,38,161,1059,,,,,Control,Hai Banana,
39,39,353,1062,,,,,Control,Hai Dam 2,banana
40,40,172,1063,,,,,TUP,Hai Banana,
41,41,174,1064,,,,,TUP,Hai Banana,
42,42,1,1066,,,,,Cash,Hai Banana,
43,43,11,1068,,,,,Control,Hai Banana,
44,44,19,1069,,,,,Control,Hai Banana,
45,45,21,1070,,,,,TUP,Hai Banana,
46,46,23,1071,,,,,TUP,Hai Banana,
47,47,24,1072,,,,,Cash,Hai Banana,
48,48,27,1074,,,,,Control,Hai Banana,
49,49,34,1075,,,,,Cash,Hai Banana,
50,50,40,1076,,,,,TUP,Hai Banana,
51,51,43,1078,,,,,Control,Hai Banana,
52,52,47,1079,,,,,Control,Hai Banana,
53,53,48,1080,,,,,TUP,Hai Banana,
54,54,50,1081,,,,,Cash,Hai Banana,
55,55,59,1082,,,,,Control,Hai Banana,
56,56,60,1083,,,,,TUP,Hai Banana,
57,57,61,1084,,,,,Control,Hai Banana,
58,58,67,1086,,,,,TUP,Hai Banana,
59,59,70,1089,,,,,Cash,Hai Banana,
60,60,73,1090,,,,,Control,Hai Banana,
61,61,84,1093,,,,,Control,Hai Banana,
62,62,86,1094,,,,,Control,Hai Banana,
63,63,92,1096,,,,,Cash,Hai Banana,
64,64,104,1100,,,,,Cash,Hai Banana,
65,65,105,1101,,,,,TUP,Hai Banana,
66,66,108,1102,,,,,TUP,Hai Banana,
67,67,114,1103,,,,,Control,Hai Banana,
68,68,115,1104,,,,,Control,Hai Banana,
69,69,120,1106,,,,,Control,Hai Banana,
70,70,127,1107,,,,,TUP,Hai Banana,
71,71,138,1109,,,,,TUP,Hai Banana,
72,72,150,1111,,,,,TUP,Hai Banana,
73,73,158,1113,,,,,Cash,Hai Banana,
74,74,160,1114,,,,,TUP,Hai Banana,
75,75,164,1115,,,,,Cash,Hai Banana,
76,76,350,1118,,,,,TUP,Hai Dam 2,banana
77,77,170,1121,,,,,Control,Hai Banana,
78,78,354,1123,,,,,TUP,Hai Dam 2,banana
79,79,173,1124,,,,,TUP,Hai Banana,
80,80,4,1127,,,,,TUP,Hai Banana,
81,81,5,1128,,,,,Control,Hai Banana,
82,82,13,1131,,,,,TUP,Hai Banana,
83,83,14,1132,,,,,Control,Hai Banana,
84,84,22,1134,,,,,Cash,Hai Banana,
85,85,51,1137,,,,,Control,Hai Banana,
86,86,52,1138,,,,,Control,Hai Banana,
87,87,56,1140,,,,,Cash,Hai Banana,
88,88,57,1141,,,,,TUP,Hai Banana,
89,89,74,1144,,,,,TUP,Hai Banana,
90,90,82,1146,,,,,TUP,Hai Banana,
91,91,91,1147,,,,,TUP,Hai Banana,
92,92,97,1149,,,,,Control,Hai Banana,
93,93,98,1151,,,,,Control,Hai Banana,
94,94,110,1154,,,,,Control,Hai Banana,
95,95,113,1155,,,,,Cash,Hai Banana,
96,96,176,1157,,,,,Control,Hai Banana,
97,97,118,1158,,,,,Cash,Hai Banana,
98,98,119,1160,,,,,TUP,Hai Banana,
99,99,121,1161,,,,,Control,Hai Banana,
100,100,130,1163,,,,,Control,Hai Banana,
101,101,135,1165,,,,,Cash,Hai Banana,
102,102,139,1166,,,,,Control,Hai Banana,
103,103,143,1167,,,,,TUP,Hai Banana,
104,104,145,1169,,,,,TUP,Hai Banana,
105,105,149,1170,,,,,TUP,Hai Banana,
106,106,152,1171,,,,,Control,Hai Banana,
107,107,153,1172,,,,,Cash,Hai Banana,
108,108,154,1173,,,,,Control,Hai Banana,
109,109,156,1174,,,,,Cash,Hai Banana,
110,110,163,1179,,,,,TUP,Hai Banana,
111,111,165,1180,,,,,TUP,Hai Banana,
112,112,349,1181,,,,,TUP,Hai Dam 2,banana
113,113,177,1183,,,,,Control,Hai city,banana
114,114,169,1184,,,,,TUP,Hai Banana,
115,115,352,1185,,,,,Cash,Hai Dam 2,banana
116,116,171,1186,,,,,Control,Hai Banana,
117,117,441,1187,,,,,TUP,Hai Sopiri,banana
118,118,2,1188,,,,,TUP,Hai Banana,
119,119,7,1189,,,,,TUP,Hai Banana,
120,120,8,1190,,,,,Control,Hai Banana,
121,121,9,1192,,,,,Control,Hai Banana,
122,122,12,1193,,,,,TUP,Hai Banana,
123,123,18,1195,,,,,TUP,Hai Banana,
124,124,20,1196,,,,,TUP,Hai Banana,
125,125,25,1197,,,,,Control,Hai Banana,
126,126,30,1198,,,,,Cash,Hai Banana,
